model,precision,recall,f1,roc_auc
XGBoost,0.8829787234042553,0.8469387755102041,0.8645833333333334,0.9798043021372871
Logistic Regression,0.05855562784645413,0.9183673469387755,0.11009174311926606,0.9714302223421727
Random Forest,0.896551724137931,0.7959183673469388,0.8432432432432433,0.9676894674583396
